epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,6009.72,0.85407,1.85503,0.49232,0.5604,1.11976,0.88064,1,0.96495,0.7412,0.88988,1,0.96916,0.65118,0.9319,1.64186,0.34743,0.61447,1.27672,0.0013169,0.0013169,0.0013169
71,6071.88,0.81013,1.75834,0.48353,0.55017,1.10176,0.86415,0.97895,0.96557,0.72177,0.8914,0.94737,0.94531,0.65145,1.03265,1.66243,0.3552,0.65929,1.38706,0.001307,0.001307,0.001307
72,6137.28,0.89564,1.59888,0.51635,0.5478,1.14304,0.92265,0.91771,0.96829,0.71285,0.92265,0.91771,0.96829,0.63724,1.02802,1.73572,0.35377,0.68838,1.3844,0.0012971,0.0012971,0.0012971
73,6200.27,0.87605,1.71261,0.49068,0.59341,1.12149,0.92294,0.92142,0.96671,0.71336,0.92294,0.92142,0.95381,0.63438,1.02788,1.7656,0.35852,0.66559,1.31485,0.0012872,0.0012872,0.0012872
74,6262.82,0.84681,1.68901,0.50076,0.5486,1.14618,0.92098,0.92308,0.96879,0.70769,0.92098,0.92308,0.96879,0.63542,1.0223,1.66455,0.35957,0.68348,1.33675,0.0012773,0.0012773,0.0012773
75,6325.46,0.85413,1.68284,0.48335,0.55501,1.13856,0.94705,0.88462,0.96431,0.7209,0.94705,0.88462,0.94942,0.62628,1.06894,1.6362,0.35519,0.74964,1.37723,0.0012674,0.0012674,0.0012674
76,6386.67,0.86654,1.69116,0.49352,0.59295,1.14225,0.86117,0.9545,0.96249,0.73928,0.86117,0.9545,0.96249,0.64473,0.95073,1.55022,0.35837,0.69657,1.29163,0.0012575,0.0012575,0.0012575
77,6448.76,0.95314,1.64187,0.47061,0.5853,1.16394,0.79588,0.90009,0.93004,0.70027,0.79588,0.90009,0.92125,0.58727,0.94698,1.844,0.39201,0.8379,1.30941,0.0012476,0.0012476,0.0012476
78,6511.33,0.82148,1.55856,0.44641,0.58068,1.14257,0.78744,0.92308,0.93223,0.70947,0.88609,0.80769,0.92607,0.62331,0.93919,1.80438,0.38994,0.85481,1.28965,0.0012377,0.0012377,0.0012377
79,6573.36,0.8228,1.93894,0.4953,0.61538,1.14279,0.86018,0.96154,0.94742,0.71644,0.81341,0.88462,0.9064,0.60999,0.99798,1.82569,0.3896,0.71997,1.28272,0.0012278,0.0012278,0.0012278
80,6635.38,0.85213,1.92594,0.48349,0.5962,1.14147,0.92172,0.96154,0.96498,0.7141,0.86077,0.88462,0.92617,0.59602,1.07711,1.78589,0.38614,0.62046,1.32195,0.0012179,0.0012179,0.0012179
81,6699.41,0.84545,1.96809,0.49861,0.5718,1.12663,0.89095,0.94307,0.96715,0.70725,0.85483,0.9063,0.9296,0.64294,1.04535,1.59489,0.36765,0.641,1.3316,0.001208,0.001208,0.001208
82,6764.35,0.84691,1.68581,0.47481,0.54316,1.09931,0.83095,1,0.96067,0.71259,0.7983,0.96154,0.92528,0.64439,1.04982,1.50441,0.34656,0.6367,1.32711,0.0011981,0.0011981,0.0011981
83,6826.93,0.80241,1.70854,0.45061,0.55631,1.09108,0.83836,1,0.9535,0.72316,0.80496,0.96154,0.94525,0.65206,1.02087,1.4142,0.33408,0.6425,1.26337,0.0011882,0.0011882,0.0011882
84,6891.32,0.89277,1.84969,0.46153,0.591,1.15518,0.85146,0.96154,0.95529,0.68188,0.85146,0.96154,0.95529,0.6499,1.07929,1.37921,0.33291,0.68052,1.27774,0.0011783,0.0011783,0.0011783
85,6955.22,0.87702,1.91332,0.45166,0.60179,1.13887,0.89606,0.99486,0.96488,0.71446,0.86147,0.95686,0.90025,0.59652,1.01174,1.65939,0.34508,0.63589,1.24784,0.0011684,0.0011684,0.0011684
86,7018.46,0.82994,1.61754,0.47345,0.56254,1.11173,0.89577,0.99189,0.97297,0.7352,0.86118,0.95462,0.9105,0.60007,1.01801,1.72811,0.34602,0.67983,1.27993,0.0011585,0.0011585,0.0011585
